id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,fico_range_low,fico_range_high,total_pymnt,total_rec_prncp,recoveries
1000000,20000,20000, 60 months,15.37%,479.69,C,C1,1 year,OWN,101265.0,Not Verified,Sep-2016,Fully Paid,moving,TX,5.11,705,709,28345.89,20000.0,0.0
1000001,25000,25000, 36 months,13.44%,847.66,C,C1,< 1 year,OWN,63931.0,Verified,Mar-2017,Fully Paid,other,CO,16.86,760,764,29185.45,25000.0,0.0
1000002,8000,8000, 60 months,12.06%,178.2,B,B5,2 years,OWN,77311.0,Source Verified,Jan-2016,Current,car,GA,16.63,780,784,4587.99,3432.84,0.0
1000003,5000,5000, 36 months,5.97%,152.04,A,A3,7 years,MORTGAGE,41439.0,Not Verified,Jul-2016,Fully Paid,medical,NY,22.84,720,724,5426.27,5000.0,0.0
1000004,25000,25000, 36 months,18.78%,913.62,D,D5,1 year,OWN,117788.0,Source Verified,Jan-2018,In Grace Period,other,WA,27.69,690,694,15039.05,11431.21,0.0
1000005,12000,12000, 36 months,14.58%,413.52,C,C1,1 year,RENT,87790.0,Verified,Jul-2017,Current,small_business,GA,24.54,705,709,2407.42,1940.59,0.0
1000006,12000,12000, 36 months,17.57%,431.24,C,C3,5 years,OWN,57071.0,Not Verified,Feb-2017,Fully Paid,other,TX,17.5,780,784,15035.97,12000.0,0.0
1000007,15000,15000, 36 months,16.35%,529.95,C,C2,5 years,OWN,45594.0,Not Verified,Jan-2018,Fully Paid,moving,OH,24.1,675,679,18340.74,15000.0,0.0
1000008,8000,8000, 36 months,19.89%,296.86,D,D1,10+ years,MORTGAGE,34008.0,Verified,Sep-2017,Current,major_purchase,VA,29.46,760,764,2404.0,1799.57,0.0
1000009,30000,30000, 60 months,11.28%,656.47,B,B4,2 years,MORTGAGE,82654.0,Verified,Jun-2018,Default,major_purchase,GA,8.6,705,709,13237.43,10589.95,419.26
1000010,30000,30000, 60 months,19.08%,779.54,D,D4,n/a,RENT,97095.0,Verified,Sep-2016,Fully Paid,credit_card,NJ,27.76,760,764,46082.89,30000.0,0.0
1000011,15000,15000, 36 months,14.44%,515.88,C,C4,5 years,OWN,65370.0,Verified,Jun-2018,Fully Paid,other,FL,24.06,720,724,17749.45,15000.0,0.0
1000012,30000,30000, 60 months,20.16%,797.49,D,D5,1 year,MORTGAGE,63279.0,Source Verified,Oct-2017,Current,home_improvement,MA,20.27,720,724,16933.3,10616.62,0.0
1000013,30000,30000, 36 months,7.85%,938.02,A,A3,5 years,OWN,62794.0,Not Verified,Jul-2016,Charged Off,house,PA,15.48,690,694,9550.76,7640.61,643.75
1000014,5000,5000, 36 months,5.47%,150.91,A,A2,< 1 year,RENT,42819.0,Source Verified,Aug-2018,Charged Off,medical,OH,23.84,675,679,1203.46,962.77,146.8
1000015,15000,15000, 36 months,6.49%,459.67,A,A5,1 year,OWN,96895.0,Verified,Aug-2018,Fully Paid,home_improvement,MI,28.86,760,764,16056.96,15000.0,0.0
1000016,12000,12000, 60 months,26.21%,360.78,F,F2,3 years,OWN,61639.0,Not Verified,Apr-2018,Charged Off,major_purchase,NC,7.32,660,664,5534.16,4427.32,554.25
1000017,35000,35000, 60 months,11.01%,761.16,B,B3,1 year,RENT,90628.0,Verified,May-2018,Default,credit_card,VA,11.95,675,679,11307.73,9046.19,1333.57
1000018,20000,20000, 36 months,6.9%,616.63,A,A5,1 year,OWN,24351.0,Not Verified,Jan-2016,Charged Off,debt_consolidation,OH,31.98,690,694,3180.06,2544.05,1923.8
1000019,15000,15000, 60 months,5.91%,289.36,A,A1,5 years,OWN,120472.0,Source Verified,Apr-2017,Fully Paid,major_purchase,NJ,25.66,690,694,17169.54,15000.0,0.0
1000020,25000,25000, 60 months,17.88%,633.2,D,D5,10+ years,RENT,41749.0,Verified,Jul-2018,Fully Paid,credit_card,CO,17.04,690,694,37806.98,25000.0,0.0
1000021,25000,25000, 60 months,8.93%,518.11,B,B4,1 year,RENT,83320.0,Source Verified,Apr-2016,Current,car,FL,30.27,690,694,5306.77,4267.73,0.0
1000022,15000,15000, 60 months,11.09%,326.81,B,B2,5 years,MORTGAGE,83143.0,Verified,Dec-2016,Fully Paid,credit_card,MA,21.28,740,744,19243.2,15000.0,0.0
1000023,20000,20000, 36 months,22.71%,771.17,E,E5,< 1 year,RENT,81274.0,Verified,Nov-2018,Fully Paid,home_improvement,CO,18.3,660,664,26431.78,20000.0,0.0
1000024,20000,20000, 60 months,16.0%,486.36,C,C2,10+ years,RENT,126215.0,Source Verified,Nov-2016,Default,medical,MA,32.53,675,679,7876.45,6301.16,341.19
1000025,15000,15000, 60 months,10.53%,322.63,B,B5,3 years,RENT,97230.0,Not Verified,Jul-2017,Fully Paid,moving,NY,33.63,690,694,18411.98,15000.0,0.0
1000026,15000,15000, 36 months,17.78%,540.63,D,D1,2 years,RENT,104334.0,Not Verified,Sep-2018,Charged Off,credit_card,IL,32.95,760,764,5149.94,4119.95,736.06
1000027,15000,15000, 36 months,5.81%,455.04,A,A1,< 1 year,OWN,84369.0,Verified,Apr-2017,Fully Paid,small_business,VA,19.18,705,709,15833.95,15000.0,0.0
1000028,10000,10000, 60 months,26.27%,301.01,F,F2,2 years,OWN,112309.0,Not Verified,Feb-2018,Fully Paid,medical,MA,6.63,660,664,17966.83,10000.0,0.0
1000029,10000,10000, 36 months,9.76%,321.55,B,B1,1 year,OWN,57979.0,Verified,Jul-2016,Charged Off,moving,GA,25.99,660,664,2406.17,1924.94,659.42
1000030,10000,10000, 36 months,7.16%,309.5,A,A3,5 years,RENT,57524.0,Source Verified,Dec-2017,Current,moving,NC,3.23,660,664,2140.22,1920.86,0.0
1000031,15000,15000, 36 months,14.13%,513.61,C,C5,5 years,OWN,46251.0,Verified,Dec-2018,Current,home_improvement,GA,12.47,690,694,7826.81,6349.51,0.0
1000032,20000,20000, 36 months,8.12%,627.84,A,A1,7 years,RENT,69517.0,Not Verified,Feb-2017,Fully Paid,other,GA,32.89,690,694,21761.4,20000.0,0.0
1000033,15000,15000, 36 months,15.54%,523.96,C,C3,5 years,RENT,32103.0,Verified,Apr-2018,Fully Paid,car,NJ,31.43,660,664,18855.37,15000.0,0.0
1000034,30000,30000, 36 months,16.89%,1067.94,C,C3,10+ years,OWN,70847.0,Verified,Dec-2018,Current,credit_card,TX,12.43,780,784,11823.76,9226.3,0.0
1000035,12000,12000, 36 months,27.26%,491.58,F,F2,2 years,MORTGAGE,113720.0,Verified,Dec-2018,Current,debt_consolidation,NC,26.64,740,744,2438.39,1653.44,0.0
1000036,5000,5000, 60 months,11.22%,109.26,B,B1,1 year,MORTGAGE,27114.0,Not Verified,Apr-2017,Fully Paid,small_business,NJ,29.43,780,784,6268.06,5000.0,0.0
1000037,25000,25000, 36 months,26.78%,1017.68,F,F2,10+ years,RENT,126150.0,Verified,Dec-2016,In Grace Period,car,CO,8.48,675,679,16480.0,11245.62,0.0
1000038,35000,35000, 60 months,21.93%,965.27,E,E2,10+ years,RENT,61188.0,Source Verified,Jul-2016,Fully Paid,major_purchase,PA,6.75,760,764,56470.44,35000.0,0.0
1000039,8000,8000, 60 months,23.41%,227.41,E,E4,3 years,RENT,78170.0,Not Verified,Mar-2017,Fully Paid,major_purchase,AZ,6.02,675,679,13424.69,8000.0,0.0
